geoid,FIPS,geoid20,year,total_pop,snap_accepting_count,snap_rate
1400000U,06037211922,211922,2021,3674,2,5.4436584
1400000U,06037212101,212101,2021,2694,1,3.7119524
1400000U,06037212102,212102,2021,2574,2,7.7700076
1400000U,06037212202,212202,2021,3258,5,15.346839
1400000U,06037212203,212203,2021,2577,4,15.521925
1400000U,06037212204,212204,2021,2948,2,6.7842607
1400000U,06037212303,212303,2021,3941,6,15.224563
1400000U,06037212304,212304,2021,1602,1,6.242197
1400000U,06037212305,212305,2021,2781,1,3.5958288
1400000U,06037212306,212306,2021,3086,2,6.4808812
1400000U,06037212420,212420,2021,3226,2,6.1996279
1400000U,06037212501,212501,2021,1864,1,5.3648067
1400000U,06037212502,212502,2021,2785,3,10.771993
1400000U,06037212610,212610,2021,4046,1,2.4715769
1400000U,06037212702,212702,2021,3591,1,2.7847397
1400000U,06037212800,212800,2021,3377,3,8.8836241
1400000U,06037212900,212900,2021,3945,2,5.0697083
1400000U,06037213100,213100,2021,2922,5,17.111567
1400000U,06037213201,213201,2021,4018,2,4.9776006
1400000U,06037213202,213202,2021,3818,5,13.095861
1400000U,06037213310,213310,2021,2536,4,15.772871
1400000U,06037213320,213320,2021,2456,4,16.286646
1400000U,06037213401,213401,2021,4630,1,2.1598272
1400000U,06037213402,213402,2021,4712,4,8.4889641
1400000U,06037214000,214000,2021,3953,3,7.5891728
1400000U,06037214100,214100,2021,3532,3,8.4937716
1400000U,06037214400,214400,2021,3065,1,3.2626426
1400000U,06037214501,214501,2021,3609,3,8.3125515
1400000U,06037214600,214600,2021,2273,2,8.7989445
1400000U,06037214700,214700,2021,2307,2,8.6692677
1400000U,06037214800,214800,2021,2653,2,7.5386357
1400000U,06037214902,214902,2021,2391,1,4.1823506
1400000U,06037215101,215101,2021,2845,4,14.059754
1400000U,06037215102,215102,2021,3110,2,6.4308681
1400000U,06037216201,216201,2021,2386,2,8.3822298
1400000U,06037216401,216401,2021,3621,1,2.761668
1400000U,06037216700,216700,2021,3322,2,6.0204697
1400000U,06037216800,216800,2021,3175,3,9.4488192
1400000U,06037216901,216901,2021,2624,4,15.243902
1400000U,06037217001,217001,2021,2749,3,10.913059
1400000U,06037217002,217002,2021,4514,5,11.076651
1400000U,06037217101,217101,2021,2820,2,7.0921984
1400000U,06037217102,217102,2021,2799,5,17.863523
1400000U,06037217200,217200,2021,3839,8,20.83876
1400000U,06037218110,218110,2021,3562,5,14.037058
1400000U,06037218120,218120,2021,3749,2,5.3347559
1400000U,06037218210,218210,2021,3660,1,2.7322404
1400000U,06037218220,218220,2021,3848,2,5.197505
1400000U,06037218300,218300,2021,5863,1,1.7056115
1400000U,06037218400,218400,2021,4433,1,2.2558086
1400000U,06037218500,218500,2021,2679,3,11.198208
1400000U,06037218600,218600,2021,2964,4,13.495276
1400000U,06037218701,218701,2021,2117,3,14.170997
1400000U,06037218702,218702,2021,2333,3,12.85898
1400000U,06037218800,218800,2021,2591,5,19.297569
1400000U,06037219010,219010,2021,3042,1,3.2873111
1400000U,06037219020,219020,2021,5221,2,3.8306837
1400000U,06037219300,219300,2021,3826,4,10.454783
1400000U,06037219500,219500,2021,1930,2,10.362695
1400000U,06037219700,219700,2021,4473,3,6.7069082
1400000U,06037219800,219800,2021,3000,1,3.3333333
1400000U,06037219901,219901,2021,4693,2,4.2616663
1400000U,06037219902,219902,2021,3307,2,6.0477777
1400000U,06037220000,220000,2021,4472,4,8.9445438
1400000U,06037220100,220100,2021,2508,5,19.936205
1400000U,06037221110,221110,2021,3539,1,2.8256569
1400000U,06037221120,221120,2021,3038,4,13.166557
1400000U,06037221210,221210,2021,3278,3,9.1519222
1400000U,06037221220,221220,2021,3126,8,25.59181
1400000U,06037221302,221302,2021,3932,6,15.25941
1400000U,06037221303,221303,2021,2448,3,12.254902
1400000U,06037221401,221401,2021,3233,2,6.1862049
1400000U,06037221500,221500,2021,3542,2,5.6465273
1400000U,06037221601,221601,2021,3008,2,6.6489363
1400000U,06037221602,221602,2021,2649,3,11.325028
1400000U,06037221710,221710,2021,2878,4,13.89854
